Lead Category,9/1-9/5,% +/-,9/8-9/12,% +/-.1,9/15-9/19,% +/-.2,9/22-9/26,% +/-.3,9/29-9/30,% +/-.4,September,Percentage
Estate Sales Under 50k,1,,3,2.0,,-1.0,1,0.0,,-1.0,6,0.06880553262
Estate Sales Over 50k,,,0,0.0,,0.0,,0.0,,0.0,0,0
Buss. Liq. Under 50k,,,0,0.0,1,0.0,1,0.0,1,0.0,3,0.03440276631
Buss. Liq. Over 50k,,,0,0.0,,0.0,,0.0,,0.0,0,0
Personal Property Under 50k,13,,22,0.6923076923,17,-0.2272727273,8,-0.5294117647,2,-0.75,61.9356232,0.7102522571
Personal Property Over 50k,,,0,0.0,,0.0,,0.0,,0.0,0,0
Veh. Sales Under 10k,,,5,0.0,3,-0.4,2,-0.3333333333,,-1.0,9.266666667,0.1062663226
Veh. Sales Over 10k,,,0,0.0,,0.0,,0.0,,0.0,0,0
Heavy Equip. Under 10k,,,0,0.0,1,0.0,3,2.0,1,-0.6666666667,7,0.08027312139
Heavy Equip. Over 50k,,,0,0.0,,0.0,,0.0,,0.0,0,0
B2B Bus. Under 25k,,,0,0.0,,0.0,,0.0,,0.0,0,0
B2B Bus. Over 25K,,,0,0.0,,0.0,,0.0,,0.0,0,0
Real Estate,,,1,0.0,,-1.0,,0.0,,0.0,0,0
Land Auction,,,0,0.0,,0.0,,0.0,,0.0,0,0
TOTAL:,14,,31,,22,,15,,4,,87.20228987,
,,,,,,,,,,,,
Lead Category,10/1-10/3,,10/6-10/10,,10/13-10/17,,10/20-10/24,,10/27-10/31,,October,Percentage
Estate Sales Under 50k,,0.0,1,0.0,3,2.0,3,0.0,1,-0.6666666667,10,0.1567125196
Estate Sales Over 50k,,0.0,,0.0,,0.0,1,0.0,,-1.0,1,0.01567125196
Buss. Liq. Under 50k,,-1.0,2,0.0,,-1.0,,0.0,2,0.0,2,0.03134250392
Buss. Liq. Over 50k,,0.0,,0.0,,0.0,,0.0,,0.0,0,0
Personal Property Under 50k,,-1.0,9,0.0,10,0.1111111111,7,-0.3,12,0.7142857143,36.81111111,0.5768761971
Personal Property Over 50k,,0.0,,0.0,,0.0,,0.0,,0.0,0,0
Veh. Sales Under 10k,,0.0,,0.0,1,0.0,4,3.0,3,-0.25,11,0.1723837715
Veh. Sales Over 10k,,0.0,,0.0,,0.0,,0.0,,0.0,0,0
Heavy Equip. Under 10k,,-1.0,,0.0,1,0.0,1,0.0,2,1.0,3,0.04701375588
Heavy Equip. Over 50k,,0.0,,0.0,,0.0,,0.0,,0.0,0,0
B2B Bus. Under 25k,,0.0,,0.0,,0.0,,0.0,,0.0,0,0
B2B Bus. Over 25K,,0.0,,0.0,,0.0,,0.0,,0.0,0,0
Real Estate,,0.0,,0.0,,0.0,,0.0,,0.0,0,0
Land Auction,,0.0,,0.0,,0.0,,0.0,,0.0,0,0
TOTAL:,0,,12,,15,,16,,20,,63.81111111,
,,,,,,,,,,,,
Lead Category,11/3-11/7,,11/10-11/14,,11/17-11/21,,11/24-11/28,,,,November,Percentage
Estate Sales Under 50k,1,0.0,1,0.0,,-1.0,,0.0,,0.0,,0
Estate Sales Over 50k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
Buss. Liq. Under 50k,2,0.0,2,0.0,,-1.0,,0.0,,0.0,,0
Buss. Liq. Over 50k,,0.0,,0.0,,0.0,,0.0,,0.0,,0
